,availability,avg_rating,brand,color,currency,description,images,name,price,original_price,review_count,scraped_at,url,category,cloth_gender
261,instock,4.8,adidas,off white,usa,"a simple tee with yarn-dyed, tonal stripes for casual days. easy does it. this adidas tee lets you kick back and just enjoy the day. it keeps things laid-back with yarn-dyed stripes and a small trefoil up front. the ribbed crewneck gives off a classic vibe, and the soft cotton blend is all about comfort all day long.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/04da0fe4011a4af5b448c9330773267b_9366/Nice_Striped_Tee_White_IR7587_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/5d6cb77ab11b4d20883282b55d0f1ae0_9366/Nice_Striped_Tee_White_IR7587_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/abc78b3d469240619ffe790d12f00ade_9366/Nice_Striped_Tee_White_IR7587_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/13ba67cc72a240e98ca99d7b821a7966_9366/Nice_Striped_Tee_White_IR7587_01_laydown.jpg']",nice striped tee,35,35,33,2023-12-11 06:00:25,https://www.adidas.com/us/nice-striped-tee/IR7587.html,clothing,men
262,instock,3.0,adidas,white / grey three / grey one,usa,"a moisture-wicking tee for the tennis court, made with recycled materials. stand out for more than your tennis. part of the adidas club collection, this tee makes a statement with an allover, camo-inspired print. aeroready wicks moisture to keep you dry, giving you the confidence you need to sprint for every point. once the ball's within reach, extra fabric under the arms offers a full range of motion in the shoulders for decisive shots.   made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/460a6ae5fe7742aeb1ccafc401059c47_9366/Club_Graphic_Tennis_Tee_White_IJ4864_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/8152e8dab7f546368831afc40105a6e6_9366/Club_Graphic_Tennis_Tee_White_IJ4864_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/e653ac5e60c543678c18afc40105b108_9366/Club_Graphic_Tennis_Tee_White_IJ4864_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/73a30523c3fd427abdefafc40105de87_9366/Club_Graphic_Tennis_Tee_White_IJ4864_01_laydown.jpg']",club graphic tennis tee,35,50,17,2023-12-11 06:00:36,https://www.adidas.com/us/club-graphic-tennis-tee/IJ4864.html,clothing,men
263,instock,3.0,adidas,black,usa,"a moisture-wicking tennis tee that highlights your love for the sport. leave no doubts about your love of tennis. complete with a colorful graphic on the back, this adidas tee comes in soft interlock fabric. moisture-absorbing aeroready makes it the perfect choice to pull on before working on your game.  this garment is made with a yarn which contains 50% parley ocean plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. this garment contains at least 70% recycled content in total.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/0e7b33a4fd254aeeaa26afd300be7459_9366/Court_Sport_Graphic_Tee_Black_II5918_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/8c855ada865a46f283deafd300be7cc7_9366/Court_Sport_Graphic_Tee_Black_II5918_22_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/d05d7b9fd6494b74ab73afd300be850a_9366/Court_Sport_Graphic_Tee_Black_II5918_23_hover_model.jpg']",court sport graphic tee,35,35,3,2023-12-11 06:00:45,https://www.adidas.com/us/court-sport-graphic-tee/II5918.html,clothing,men
264,instock,3.0,adidas,white,usa,"a soft tee with a bold mash-up on the back. graphic style is always confident, and this adidas tee rocks it. designed with a 2000s feel, it features a mosaic of designs on the back that's anchored by the trefoil. a ribbed crewneck goes for a classic fit, and pure cotton single jersey commands comfort daily.   we partner with better cotton to improve cotton farming globally. better cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.   better cotton is sourced via a chain of custody model called mass balance. this means that better cotton is not physically traceable to end products, however, better cotton farmers benefit from the demand for better cotton in equivalent volumes to those we ""source.""   find out more here: bettercotton.org/learnmore","['https://assets.adidas.com/images/w_600,f_auto,q_auto/22ba001225e64e6584325030b917e323_9366/adidas_Multi_Graphic_Tee_White_IN8736_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/d31af3a356684e3f856a176665465691_9366/adidas_Multi_Graphic_Tee_White_IN8736_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/bb78452d8c624e909ec00308eb7f81ae_9366/adidas_Multi_Graphic_Tee_White_IN8736_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/525f50f096104482bd5adfd8951105c7_9366/adidas_Multi_Graphic_Tee_White_IN8736_01_laydown.jpg']",adidas multi graphic tee,40,40,2,2023-12-11 06:01:02,https://www.adidas.com/us/adidas-multi-graphic-tee/IN8736.html,clothing,men
265,instock,4.8,adidas,wonder quartz / silver dawn,usa,"a loose-fit allover print t-shirt made in collaboration with parley for the oceans. you and nature are one in this soft adidas t-shirt. its unique allover print takes cues from coral bleaching, highlighting the beauty and fragility of the underwater world that surrounds us. the words printed on the back inspire you and others to protect mother nature every chance you get. this tee was made using unitefit — an all-gender fit system that was created with a spectrum of sizes, genders and forms in mind.  educate and act. head to parley for the oceans website to find out more, sign up and get involved at adidas.com/parley.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/dbc30ace17c646ba9d5baf56009a541d_9366/adidas_x_Parley_Tee_Gender_Neutral_Pink_HR6976_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/7cb394841e0f4dd28b63af56009a5bf2_9366/adidas_x_Parley_Tee_Gender_Neutral_Pink_HR6976_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/c8f34a971b7b492c91e3af56009a6d61_9366/adidas_x_Parley_Tee_Gender_Neutral_Pink_HR6976_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/0a29d9bb60764c5fa138af1c01112952_9366/adidas_x_Parley_Tee_Gender_Neutral_Pink_HR6976_01_laydown.jpg']",adidas x parley tee (gender neutral),30,60,34,2023-12-11 06:01:15,https://www.adidas.com/us/adidas-x-parley-tee-gender-neutral/HR6976.html,clothing,sportswear
266,instock,3.0,adidas,team navy / multi,usa,"a soft tee for panthers fans who want to wear team colors. save your team jersey for game day. for everything else, pull on this adidas florida panthers tee and put your pride out there for all to see. hit the gym, the sidewalk or the sofa in soft ringspun cotton that feels as good as it looks. you're a fan. you get to represent 24/7 if you want.   we partner with better cotton to improve cotton farming globally. better cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.    better cotton is sourced via a chain-of-custody model called mass balance. this means that better cotton is not physically traceable to end products. however, better cotton farmers benefit from the demand for better cotton in equivalent volumes to those we ""source.""   find out more here: bettercotton.org/learnmore","['https://assets.adidas.com/images/w_600,f_auto,q_auto/f129039f64414e04a7d7af090141eddc_9366/Panthers_NHL_Fresh_Tee_Blue_IK4155_01_laydown.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/7e7704aae6214043b40baf090141ef12_9366/Panthers_NHL_Fresh_Tee_Blue_IK4155_02_laydown_hover.jpg']",panthers nhl fresh tee,30,30,0,2023-12-11 06:01:24,https://www.adidas.com/us/panthers-nhl-fresh-tee/IK4155.html,clothing,men
267,outofstock,3.0,adidas,black / white,usa,"a soft, moisture-absorbing tee made in part with recycled materials. you will see results if you train consistently. throw on this adidas workout t-shirt and head to the gym. it gives you full coverage, even when you reach your arms up for shoulder presses or pull-ups. the breathable fabric feels soft to the touch, and aeroready keeps you dry.  made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/0c94830bd5f04bd5b2a0af4a0098c365_9366/Train_Essentials_Prime_Training_Tee_Black_IC7433_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/a892d2a4ac104dd281dcaf4a0098ccf5_9366/Train_Essentials_Prime_Training_Tee_Black_IC7433_23_hover_model.jpg']",train essentials prime training tee,12,25,0,2023-12-11 06:01:36,https://www.adidas.com/us/train-essentials-prime-training-tee/IC7433.html,clothing,men
268,instock,3.0,adidas,eqt yellow,usa,"a soft, comfortable tee with homer on deck. homer simpson takes the spotlight on this easy-wear cotton tee, finished with a ribbed crewneck. drawn in the show's signature yellow hue, springfield's favorite family man is unmistakably the star.   we partner with better cotton to improve cotton farming globally. better cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.   better cotton is sourced via a chain of custody model called mass balance. this means that better cotton is not physically traceable to end products, however, better cotton farmers benefit from the demand for better cotton in equivalent volumes to those we ""source.""   find out more here: bettercotton.org/learnmore","['https://assets.adidas.com/images/w_600,f_auto,q_auto/7ff5d78f897642a5b8fac70031a88dd3_9366/adidas_x_Simpsons_Homer_Tee_Yellow_IM8029_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/714848a3332d4a3d94786bd46430ad75_9366/adidas_x_Simpsons_Homer_Tee_Yellow_IM8029_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/7e0f09377d51427b9ae0658d14f0344a_9366/adidas_x_Simpsons_Homer_Tee_Yellow_IM8029_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/212a9cbda6244d95b23f834dc733313a_9366/adidas_x_Simpsons_Homer_Tee_Yellow_IM8029_01_laydown.jpg']",adidas x simpsons homer tee,35,35,16,2023-12-11 06:01:48,https://www.adidas.com/us/adidas-x-simpsons-homer-tee/IM8029.html,clothing,men
269,instock,3.0,adidas,black,usa,"classic 3-stripes style and performance. made for everyday comfort and classic style, the 4.0 logo long sleeve tee features classic graphics with a vintage treatment on the front and lower back.   we partner with better cotton to improve cotton farming globally. better cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.    better cotton is sourced via a chain-of-custody model called mass balance. this means that better cotton is not physically traceable to end products. however, better cotton farmers benefit from the demand for better cotton in equivalent volumes to those we ""source.""   find out more here: bettercotton.org/learnmore","['https://assets.adidas.com/images/w_600,f_auto,q_auto/fffea500926e4269ad28afc500074d00_9366/4.0_Logo_Long_Sleeve_Tee_Black_IJ0962_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/164470eb0a2a4d1a9a8aafc5000781ff_9366/4.0_Logo_Long_Sleeve_Tee_Black_IJ0962_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/f82122e6bdaa4368ab57afc50008975c_9366/4.0_Logo_Long_Sleeve_Tee_Black_IJ0962_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/83e65fde53c04d79ac4fafa9014f8da4_9366/4.0_Logo_Long_Sleeve_Tee_Black_IJ0962_01_laydown.jpg']",4.0 logo long sleeve tee,26,42,4,2023-12-11 06:02:03,https://www.adidas.com/us/4.0-logo-long-sleeve-tee/IJ0962.html,clothing,men
270,instock,4.7,adidas,medium grey heather / preloved yellow f23,usa,"an essential tee made from cotton single jersey. whether you're throwing it on after the gym or getting ready to start the day, this adidas staple tee is calling your name. made for comfort and easy style, the adidas badge of sport shines from the front putting your adidas pride on full display. mix and match with every item in your closet — the classic sports vibe goes with any look.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/05e70d12d5cf4edfa8358f2ac426f60a_9366/Essentials_Single_Jersey_Big_Logo_Tee_Grey_IJ8581_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/5fe88f8c309e43e58d221397c36ddb5f_9366/Essentials_Single_Jersey_Big_Logo_Tee_Grey_IJ8581_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/fd5da612e4db42a8b8dc83b64e30ca21_9366/Essentials_Single_Jersey_Big_Logo_Tee_Grey_IJ8581_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/4cd590d293eb4f999c859356fdb8dab6_9366/Essentials_Single_Jersey_Big_Logo_Tee_Grey_IJ8581_01_laydown.jpg']",essentials single jersey big logo tee,15,30,196,2023-12-11 06:02:12,https://www.adidas.com/us/essentials-single-jersey-big-logo-tee/IJ8581.html,clothing,men
